Year,Month,State,Solar MWh,Wind MWh,Temp,Precip
2002,1,AL,NA,NA,46.8,5.11
2002,2,AL,NA,NA,46,2.99
2002,3,AL,NA,NA,55,5.79
2002,4,AL,NA,NA,66.4,2.19
2002,5,AL,NA,NA,70.2,4.09
2002,6,AL,NA,NA,77.2,3.77
2002,7,AL,NA,NA,80.3,5.38
2002,8,AL,NA,NA,79.7,3.24
2002,9,AL,NA,NA,77.3,7.57
2002,10,AL,NA,NA,67.8,5.58
2002,11,AL,NA,NA,51,4.88
2002,12,AL,NA,NA,45.2,6.54
2003,1,AL,NA,NA,40,2.33
2003,2,AL,NA,NA,48,6.76
2003,3,AL,NA,NA,57.6,4.67
2003,4,AL,NA,NA,63.3,6.41
2003,5,AL,NA,NA,71.6,8.49
2003,6,AL,NA,NA,75.6,8.17
2003,7,AL,NA,NA,78.5,7.74
2003,8,AL,NA,NA,79.4,5.7
2003,9,AL,NA,NA,73.1,3.7
2003,10,AL,NA,NA,63.5,1.61
2003,11,AL,NA,NA,58.2,4.67
2003,12,AL,NA,NA,44,3.47
2004,1,AL,NA,NA,44.2,3.27
2004,2,AL,NA,NA,45.4,7.06
2004,3,AL,NA,NA,59,2.28
2004,4,AL,NA,NA,61.2,3.37
2004,5,AL,NA,NA,72.7,4
2004,6,AL,NA,NA,76.8,7.53
2004,7,AL,NA,NA,79.2,4.43
2004,8,AL,NA,NA,76.3,4.48
2004,9,AL,NA,NA,73.8,6.63
2004,10,AL,NA,NA,68.5,3.87
2004,11,AL,NA,NA,57.8,8.12
2004,12,AL,NA,NA,45.1,4.84
2005,1,AL,NA,NA,49.2,2.86
2005,2,AL,NA,NA,51.2,4.96
2005,3,AL,NA,NA,53.5,5.85
2005,4,AL,NA,NA,61,7.6
2005,5,AL,NA,NA,68.3,2.8
2005,6,AL,NA,NA,76.7,6.37
2005,7,AL,NA,NA,80.4,9.19
2005,8,AL,NA,NA,80.5,6.01
2005,9,AL,NA,NA,76.9,3.29
2005,10,AL,NA,NA,63.8,0.61
2005,11,AL,NA,NA,55.8,3.59
2005,12,AL,NA,NA,43.4,3.95
2006,1,AL,NA,NA,51.1,5.23
2006,2,AL,NA,NA,46.1,5.05
2006,3,AL,NA,NA,56.1,2.97
2006,4,AL,NA,NA,67.5,3.07
2006,5,AL,NA,NA,70.4,4.41
2006,6,AL,NA,NA,78.1,2.01
2006,7,AL,NA,NA,81.9,3.33
2006,8,AL,NA,NA,82.3,3.91
2006,9,AL,NA,NA,72.8,3.53
2006,10,AL,NA,NA,61.9,5.13
2006,11,AL,NA,NA,52.8,4.84
2006,12,AL,NA,NA,49.4,4.06
2007,1,AL,NA,NA,46.7,4.34
2007,2,AL,NA,NA,44.8,2.64
2007,3,AL,NA,NA,60,1.56
2007,4,AL,NA,NA,60,3.91
2007,5,AL,NA,NA,71.2,0.73
2007,6,AL,NA,NA,78.8,2.78
2007,7,AL,NA,NA,79.2,5.2
2007,8,AL,NA,NA,84.4,2.67
2007,9,AL,NA,NA,76,3.11
2007,10,AL,NA,NA,66.5,3.92
2007,11,AL,NA,NA,53.6,2.75
2007,12,AL,NA,NA,51.6,4.25
2008,1,AL,NA,NA,43,4.09
2008,2,AL,NA,NA,49.2,5.79
2008,3,AL,NA,NA,55.2,4.01
2008,4,AL,NA,NA,62.8,4.53
2008,5,AL,NA,NA,70.3,4.43
2008,6,AL,NA,NA,78.7,2.69
2008,7,AL,NA,NA,80,4.04
2008,8,AL,NA,NA,78.4,8.89
2008,9,AL,NA,NA,74.5,1.65
2008,10,AL,NA,NA,62.2,3.02
2008,11,AL,NA,NA,51,3.15
2008,12,AL,NA,NA,49.7,6.78
2009,1,AL,NA,NA,45.3,4.42
2009,2,AL,NA,NA,48.2,3.85
2009,3,AL,NA,NA,57.3,8.98
2009,4,AL,NA,NA,61.4,4.45
2009,5,AL,NA,NA,71.2,8.51
2009,6,AL,NA,NA,79.4,2.71
2009,7,AL,NA,NA,78.1,5.59
2009,8,AL,NA,NA,78,5.49
2009,9,AL,NA,NA,75,7.57
2009,10,AL,NA,NA,62.8,7.18
2009,11,AL,NA,NA,53.4,4.39
2009,12,AL,NA,NA,44.8,10.63
2010,1,AL,NA,NA,40,6.21
2010,2,AL,NA,NA,40.6,4.22
2010,3,AL,NA,NA,51.2,5.07
2010,4,AL,NA,NA,64.2,2.82
2010,5,AL,NA,NA,73.3,6.15
2010,6,AL,NA,NA,80.9,3.26
2010,7,AL,NA,NA,82.6,3.5
2010,8,AL,NA,NA,83,4.83
2010,9,AL,NA,NA,76.9,1.61
2010,10,AL,NA,NA,64.3,2.59
2010,11,AL,NA,NA,55.2,4.73
2010,12,AL,NA,NA,40.3,2.2
2011,1,AL,NA,NA,41.1,4.03
2011,2,AL,NA,NA,49.5,3.49
2011,3,AL,NA,NA,57.8,8.18
2011,4,AL,NA,NA,65.7,5.08
2011,5,AL,NA,NA,69.9,1.64
2011,6,AL,NA,NA,81.2,3.55
2011,7,AL,NA,NA,81.7,5.52
2011,8,AL,NA,NA,81.8,2.05
2011,9,AL,NA,NA,72.1,7.21
2011,10,AL,NA,NA,60.6,0.79
2011,11,AL,NA,NA,55.3,4.13
2011,12,AL,NA,NA,49.3,5.04
2012,1,AL,NA,NA,50.1,5.44
2012,2,AL,NA,NA,52.1,4.49
2012,3,AL,NA,NA,64.6,5.35
2012,4,AL,NA,NA,65,1.89
2012,5,AL,NA,NA,73.4,4.16
2012,6,AL,NA,NA,76.8,4
2012,7,AL,NA,NA,81.6,5.75
2012,8,AL,NA,NA,78.1,6.07
2012,9,AL,NA,NA,73,5.35
2012,10,AL,NA,NA,62.2,2.91
2012,11,AL,NA,NA,51.2,1.36
2012,12,AL,NA,NA,50.9,6.61
2013,1,AL,NA,NA,50,6.27
2013,2,AL,NA,NA,48,8.86
2013,3,AL,NA,NA,49.8,3.83
2013,4,AL,NA,NA,62.2,5.71
2013,5,AL,NA,NA,68.2,4
2013,6,AL,NA,NA,78,5.81
2013,7,AL,NA,NA,77.7,8.7
2013,8,AL,NA,NA,77.9,5.5
2013,9,AL,NA,NA,75,3.2
2013,10,AL,NA,NA,64.9,1.47
2013,11,AL,NA,NA,51.6,3.42
2013,12,AL,NA,NA,47.9,7.93
2014,1,AL,NA,NA,37.3,2.7
2014,2,AL,NA,NA,47.3,5.75
2014,3,AL,NA,NA,52.3,5.57
2014,4,AL,NA,NA,62.4,9.67
2014,5,AL,NA,NA,70.2,4.27
2014,6,AL,NA,NA,77.9,5.23
2014,7,AL,NA,NA,77.8,3.36
2014,8,AL,NA,NA,79.5,3.25
2014,9,AL,NA,NA,76.3,2.51
2014,10,AL,NA,NA,65.2,4.38
2014,11,AL,NA,NA,48.2,2.98
2014,12,AL,NA,NA,50,6.36
2015,1,AL,NA,NA,43.6,4.34
2015,2,AL,NA,NA,41.3,4.05
2015,3,AL,NA,NA,57.8,4.28
2015,4,AL,NA,NA,66,7.14
2015,5,AL,NA,NA,71.8,4.32
2015,6,AL,NA,NA,78.8,3.27
2015,7,AL,NA,NA,81.6,4.71
2015,8,AL,NA,NA,79,4.94
2015,9,AL,NA,NA,74.4,2.71
2015,10,AL,NA,NA,65,2.93
2015,11,AL,NA,NA,59.2,6.8
2015,12,AL,NA,NA,56.9,11.87
2016,1,AL,NA,NA,43,4.06
2016,2,AL,NA,NA,49.8,5.85
2016,3,AL,NA,NA,59.7,5.42
2016,4,AL,NA,NA,63.6,5.68
2016,5,AL,NA,NA,70.2,2.14
2016,6,AL,NA,NA,79.2,3.81
2016,7,AL,NA,NA,82,4.27
2016,8,AL,NA,NA,81.6,4.58
2016,9,AL,467,NA,78.6,1.72
2016,10,AL,10809,NA,68.5,0.13
2016,11,AL,13138,NA,57.8,2.3
2016,12,AL,6847,NA,50.1,5.05
2017,1,AL,6857,NA,52.4,9.17
2017,2,AL,7957,NA,55.6,3.7
2017,3,AL,13298,NA,58.4,4.17
2017,4,AL,16103,NA,67.2,4.09
2017,5,AL,18849,NA,69.9,7.01
2017,6,AL,19966,NA,75.8,10.7
2017,7,AL,19196,NA,80.6,5.06
2017,8,AL,18459,NA,78.8,6.07
2017,9,AL,17305,NA,73.4,3.25
2017,10,AL,16010,NA,65.8,6.03
2017,11,AL,10452,NA,55.6,1.05
2017,12,AL,16237,NA,46.9,3.89
2018,1,AL,19880,NA,40.4,2.32
2018,2,AL,17206,NA,58,7.27
2018,3,AL,32133,NA,55.4,4.14
2018,4,AL,37076,NA,59.5,5.94
2018,5,AL,39492,NA,74.4,5.52
2018,6,AL,39966,NA,79.3,4.58
2018,7,AL,39304,NA,80.7,4.46
2018,8,AL,36694,NA,79.5,5.03
2018,9,AL,32558,NA,79.4,6.21
2018,10,AL,29827,NA,67.4,2.69
2018,11,AL,17276,NA,50.4,6.29
2018,12,AL,15839,NA,49,9.95
2019,1,AL,19392,NA,46.5,6.01
2019,2,AL,17747,NA,56.1,6.21
2019,3,AL,33634,NA,55,3.4
2019,4,AL,39638,NA,63.5,6.24
2019,5,AL,46400,NA,74.2,3.59
2019,6,AL,40531,NA,78.1,4.47
2019,7,AL,42641,NA,80.6,4.02
2019,8,AL,38794,NA,80.6,4.99
2019,9,AL,40462,NA,80.2,0.41
2019,10,AL,24590,NA,67.8,7.12
2019,11,AL,24296,NA,50.6,3.24
2019,12,AL,16815,NA,51.3,6.6
2020,1,AL,18344,NA,49.8,7.4
2020,2,AL,20848,NA,51.1,10.41
2020,3,AL,26336,NA,63.5,6.17
2020,4,AL,39853,NA,62,7.09
2020,5,AL,44177,NA,68.9,3.64
2020,6,AL,40608,NA,77,5.15
2020,7,AL,40838,NA,81,5.3
2020,8,AL,37793,NA,80.3,5.78
2020,9,AL,29693,NA,74.5,6.01
2020,10,AL,27630,NA,67,5.1
2020,11,AL,23321,NA,58.4,2.72
2020,12,AL,20536,NA,45.9,3.84
2000,1,AR,NA,NA,41.8,2.32
2000,2,AR,NA,NA,49.1,2.66
2000,3,AR,NA,NA,54.8,4.24
2000,4,AR,NA,NA,59.2,3.61
2000,5,AR,NA,NA,70.8,6.69
2000,6,AR,NA,NA,75.1,6.93
2000,7,AR,NA,NA,80.1,1.54
2000,8,AR,NA,NA,83.8,0.43
2000,9,AR,NA,NA,73.7,2.95
2000,10,AR,NA,NA,63.9,1.76
2000,11,AR,NA,NA,46.8,8.97
2000,12,AR,NA,NA,31.6,3.6
2001,1,AR,NA,NA,37,3.48
2001,2,AR,NA,NA,45.5,8.07
2001,3,AR,NA,NA,47.9,3.78
2001,4,AR,NA,NA,65.4,2.34
2001,5,AR,NA,NA,70,5.64
2001,6,AR,NA,NA,75.5,3.15
2001,7,AR,NA,NA,82,2.58
2001,8,AR,NA,NA,80.8,2.84
2001,9,AR,NA,NA,70.9,3.65
2001,10,AR,NA,NA,59.5,5.82
2001,11,AR,NA,NA,55,5.78
2001,12,AR,NA,NA,45.2,8.28
2002,1,AR,NA,NA,42.5,4.01
2002,2,AR,NA,NA,42.3,2.73
2002,3,AR,NA,NA,47.9,9.5
2002,4,AR,NA,NA,63.6,3.33
2002,5,AR,NA,NA,67,6.16
2002,6,AR,NA,NA,76.6,2.57
2002,7,AR,NA,NA,80.6,4.13
2002,8,AR,NA,NA,79.9,3.36
2002,9,AR,NA,NA,75.2,2.98
2002,10,AR,NA,NA,60.5,4.35
2002,11,AR,NA,NA,48.2,2.17
2002,12,AR,NA,NA,42.7,7.54
2003,1,AR,NA,NA,36.8,0.67
2003,2,AR,NA,NA,40.1,6.05
2003,3,AR,NA,NA,51.2,2.01
2003,4,AR,NA,NA,61.7,2.6
2003,5,AR,NA,NA,69.6,6.87
2003,6,AR,NA,NA,73.1,5.75
2003,7,AR,NA,NA,80,3.56
2003,8,AR,NA,NA,80.8,2.93
2003,9,AR,NA,NA,70.2,3.6
2003,10,AR,NA,NA,62.8,2.43
2003,11,AR,NA,NA,54.6,5.26
2003,12,AR,NA,NA,42.3,3.11
2004,1,AR,NA,NA,41,3.26
2004,2,AR,NA,NA,40.6,4.1
2004,3,AR,NA,NA,55.9,4.48
2004,4,AR,NA,NA,60.8,6.28
2004,5,AR,NA,NA,70.7,5
2004,6,AR,NA,NA,75.8,5.81
2004,7,AR,NA,NA,77.8,4.71
2004,8,AR,NA,NA,75.3,2.76
2004,9,AR,NA,NA,73,0.4
2004,10,AR,NA,NA,65.8,8.17
2004,11,AR,NA,NA,54.1,8.99
2004,12,AR,NA,NA,41.5,3.06
2005,1,AR,NA,NA,44.7,5.32
2005,2,AR,NA,NA,47.5,2.84
2005,3,AR,NA,NA,50.4,3.5
2005,4,AR,NA,NA,60.9,4.12
2005,5,AR,NA,NA,67.4,1.93
2005,6,AR,NA,NA,77.5,1.98
2005,7,AR,NA,NA,80.2,4.05
2005,8,AR,NA,NA,82.2,3.04
2005,9,AR,NA,NA,77,4.77
2005,10,AR,NA,NA,61.7,0.26
2005,11,AR,NA,NA,54,3.2
2005,12,AR,NA,NA,40,0.74
2006,1,AR,NA,NA,47.5,4.61
2006,2,AR,NA,NA,40.8,2.51
2006,3,AR,NA,NA,53.4,5.02
2006,4,AR,NA,NA,66.5,4.56
2006,5,AR,NA,NA,69.9,3.93
2006,6,AR,NA,NA,76.3,2.56
2006,7,AR,NA,NA,81.2,2.79
2006,8,AR,NA,NA,82.1,3.74
2006,9,AR,NA,NA,69.7,4.33
2006,10,AR,NA,NA,60.1,4.52
2006,11,AR,NA,NA,51.5,4.88
2006,12,AR,NA,NA,44.9,5.88
2007,1,AR,NA,NA,39.9,6.92
2007,2,AR,NA,NA,40.9,2.44
2007,3,AR,NA,NA,59.5,1.64
2007,4,AR,NA,NA,57.4,4.22
2007,5,AR,NA,NA,71,3.69
2007,6,AR,NA,NA,77.1,3.65
2007,7,AR,NA,NA,77.6,5.75
2007,8,AR,NA,NA,83.7,0.89
2007,9,AR,NA,NA,74.1,4.56
2007,10,AR,NA,NA,64,5.15
2007,11,AR,NA,NA,52.5,2.06
2007,12,AR,NA,NA,44,5.73
2008,1,AR,NA,NA,39,1.73
2008,2,AR,NA,NA,43.6,4.67
2008,3,AR,NA,NA,51.9,9.06
2008,4,AR,NA,NA,58.8,8.13
2008,5,AR,NA,NA,68.1,4.55
2008,6,AR,NA,NA,77.7,4.06
2008,7,AR,NA,NA,80.5,2.9
2008,8,AR,NA,NA,77.7,7.27
2008,9,AR,NA,NA,71.1,7.63
2008,10,AR,NA,NA,60,3.71
2008,11,AR,NA,NA,48.9,2.31
2008,12,AR,NA,NA,41,4.46
2009,1,AR,NA,NA,38.4,2.74
2009,2,AR,NA,NA,47.3,2.71
2009,3,AR,NA,NA,52.7,5.35
2009,4,AR,NA,NA,59.6,5.21
2009,5,AR,NA,NA,67.5,11.03
2009,6,AR,NA,NA,78.8,2.61
2009,7,AR,NA,NA,77.8,7.55
2009,8,AR,NA,NA,76.6,3.55
2009,9,AR,NA,NA,71.3,8.64
2009,10,AR,NA,NA,57,14.13
2009,11,AR,NA,NA,54,1.7
2009,12,AR,NA,NA,38.1,6.98
2010,1,AR,NA,NA,36.5,3.92
2010,2,AR,NA,NA,36.5,3.32
2010,3,AR,NA,NA,50.5,2.99
2010,4,AR,NA,NA,63.4,3.06
2010,5,AR,NA,NA,71.3,6.2
2010,6,AR,NA,NA,81.6,2.61
2010,7,AR,NA,NA,82,4.46
2010,8,AR,NA,NA,83.9,1.73
2010,9,AR,NA,NA,74.8,3.3
2010,10,AR,NA,NA,62.7,1.31
2010,11,AR,NA,NA,52,4.35
2010,12,AR,NA,NA,38.9,1.54
2011,1,AR,NA,NA,37.6,1.6
2011,2,AR,NA,NA,43.9,4.12
2011,3,AR,NA,NA,52.5,2.8
2011,4,AR,NA,NA,63.5,10.6
2011,5,AR,NA,NA,67.3,8.31
